job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
AI Research Scientist,5,United States,Bachelor,Medium,"TensorFlow, Azure, Tableau, Data Visualization, Hadoop",173839.0
ML Ops Engineer,0,South Korea,Master,Large,"NLP, Tableau, Kubernetes, SQL, GCP",59357.0
Data Scientist,0,Austria,Associate,Medium,"Scala, Python, Data Visualization",51431.0
Autonomous Systems Engineer,5,Ireland,PhD,Small,"Hadoop, Spark, Kubernetes, Scala",96506.0
Data Analyst,1,Canada,Master,Small,"Linux, Kubernetes, Data Visualization, TensorFlow, Docker",59198.0
Machine Learning Engineer,12,Germany,PhD,Small,"Git, Statistics, Data Visualization, Python, Scala",261795.68999999997
Deep Learning Engineer,1,France,Bachelor,Large,"Hadoop, Spark, Tableau, R, Python",86956.73999999999
Research Scientist,2,United States,Associate,Medium,"TensorFlow, MLOps, Kubernetes, SQL, Java",120749.0
NLP Engineer,15,Finland,Master,Small,"Hadoop, Azure, Java, MLOps",138212.0
Robotics Engineer,15,Canada,Master,Small,"Git, Docker, Statistics, Mathematics",199039.0
AI Specialist,6,Singapore,PhD,Small,"Spark, Git, Hadoop",105699.0
Research Scientist,0,Japan,Bachelor,Small,"Python, Mathematics, PyTorch, Spark",38497.0
AI Product Manager,3,Japan,Associate,Small,"R, Azure, MLOps",63141.0
AI Specialist,9,Austria,Master,Large,"Git, Statistics, Mathematics, Hadoop, Java",87871.0
Research Scientist,18,United States,Bachelor,Medium,"SQL, Statistics, Mathematics, TensorFlow, GCP",255678.0
Data Analyst,7,Netherlands,Master,Small,"Java, Azure, Tableau, Python",154505.52
AI Research Scientist,6,United States,Associate,Medium,"Git, Scala, NLP, Python",146085.0
Data Engineer,3,Sweden,Master,Medium,"PyTorch, Python, Deep Learning, SQL, MLOps",85037.0
AI Product Manager,1,Ireland,Bachelor,Medium,"Python, Linux, Tableau, SQL, MLOps",42661.0
Deep Learning Engineer,7,Israel,Associate,Large,"TensorFlow, Hadoop, Python, Java, Docker",119706.0
Computer Vision Engineer,10,Finland,Bachelor,Medium,"PyTorch, Java, Kubernetes",110064.0
Research Scientist,9,China,Associate,Medium,"Azure, PyTorch, NLP, TensorFlow",91090.0
Principal Data Scientist,4,France,Master,Large,"Spark, Java, GCP",93959.18999999999
AI Product Manager,3,Germany,Master,Large,"SQL, Python, GCP",125565.56999999999
Head of AI,0,Austria,PhD,Large,"Python, GCP, Mathematics, Scala, Deep Learning",59373.0
Machine Learning Researcher,0,France,Master,Small,"GCP, Python, Azure, Scala",76273.47
Robotics Engineer,16,Austria,Associate,Large,"TensorFlow, PyTorch, Spark",152969.0
Research Scientist,8,Switzerland,Associate,Small,"R, Python, Data Visualization, TensorFlow",147893.0
Principal Data Scientist,0,United States,Bachelor,Large,"Data Visualization, Scala, Python, SQL, Linux",69807.0
AI Software Engineer,0,United Kingdom,Bachelor,Large,"Java, AWS, GCP, Spark",91562.40000000001
Data Engineer,10,South Korea,Associate,Large,"AWS, Mathematics, Linux",141523.0
Data Analyst,9,India,PhD,Large,"Scala, AWS, Spark, Deep Learning",122796.0
AI Consultant,3,United States,PhD,Small,"Scala, GCP, MLOps, Python, Computer Vision",81885.0
Data Analyst,5,United Kingdom,Bachelor,Medium,"Scala, Mathematics, MLOps, Python",159981.75
Robotics Engineer,5,United States,Master,Small,"R, Git, Statistics, Spark, Python",133565.0
Data Analyst,1,United Kingdom,PhD,Small,"Java, Kubernetes, Tableau",81025.65000000001
ML Ops Engineer,0,United States,Bachelor,Medium,"Docker, Hadoop, PyTorch, Python, Java",76875.0
Deep Learning Engineer,1,Australia,Bachelor,Large,"AWS, R, Python",64400.0
Autonomous Systems Engineer,3,Japan,Master,Medium,"MLOps, Data Visualization, Deep Learning, Python",68857.0
Computer Vision Engineer,7,Ireland,Bachelor,Medium,"R, Linux, AWS",97840.0
Machine Learning Engineer,18,Sweden,Bachelor,Large,"Azure, Git, SQL, NLP, Docker",168619.0
Machine Learning Researcher,8,United Kingdom,Associate,Medium,"Git, NLP, MLOps",159478.2
Principal Data Scientist,7,India,PhD,Small,"Java, Git, Data Visualization, SQL, Kubernetes",81112.0
Head of AI,4,United Kingdom,Master,Medium,"Git, Java, MLOps",150527.7
NLP Engineer,5,United States,Associate,Large,"TensorFlow, Kubernetes, Git, Computer Vision, Statistics",151610.0
Machine Learning Engineer,7,Austria,Bachelor,Large,"Linux, Statistics, MLOps, Computer Vision, Deep Learning",95128.0
Machine Learning Engineer,8,United Kingdom,PhD,Small,"Tableau, GCP, SQL, MLOps",184589.55000000002
ML Ops Engineer,3,China,Bachelor,Small,"GCP, R, Python, Kubernetes",69822.0
Machine Learning Researcher,0,Switzerland,Bachelor,Large,"Azure, Python, Data Visualization",88380.0
NLP Engineer,18,France,Bachelor,Small,"PyTorch, Scala, NLP, GCP",233393.93999999997
Deep Learning Engineer,4,Austria,Bachelor,Small,"Java, Hadoop, Deep Learning, TensorFlow",56268.0
Data Engineer,12,France,Master,Medium,"Deep Learning, Statistics, Docker",166492.16999999998
NLP Engineer,15,India,Associate,Medium,"Spark, Python, Tableau",178371.0
Computer Vision Engineer,12,Israel,Associate,Small,"Tableau, SQL, MLOps, PyTorch",157412.0
AI Software Engineer,12,Switzerland,Associate,Small,"Docker, TensorFlow, Hadoop, Git, Scala",250562.0
Data Engineer,14,Ireland,Bachelor,Medium,"Tableau, AWS, NLP, Scala",167401.0
Computer Vision Engineer,0,Germany,Bachelor,Large,"Git, SQL, Spark, MLOps",99833.76
AI Consultant,5,Ireland,Associate,Small,"Tableau, Linux, SQL, Spark, GCP",94160.0
NLP Engineer,17,Japan,Master,Medium,"Hadoop, SQL, Computer Vision",147732.0
Autonomous Systems Engineer,0,Canada,Master,Small,"SQL, MLOps, Data Visualization, Scala, Git",50749.0
